name,country,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr
ravichandran ashwin,india,bowling-allrounder,right-handed-bat,right-arm-offbreak,12,184,26.29,115.0,0,17,4,34,800,13.33,118.52,1,61,28,72,6.91,23.22,20.17,180,7.12,29.83,25.13
rachin ravindra,new zealand,batting-allrounder,left-handed-bat,left-arm-orthodox,6,309,17.17,127.69,2,19,14,0,222,22.2,160.87,1,22,12,13,6.59,20.77,18.92,0,3.5,0.0,0.0
anshul kamboj,india,bowling-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,1,2,0.0,100.0,0,0,0,0,0.0,0.0,0.0,2,11.4,57.0,30.0
sam curran,england,bowling-allrounder,left-handed-bat,left-arm-fast-medium,9,356,14.24,124.48,1,21,15,13,883,25.23,136.48,5,74,37,54,8.41,27.07,19.31,58,9.65,32.76,20.36
vijay shankar,india,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44
ashutosh sharma,india,batting-allrounder,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,2,189,27.0,167.26,1,10,15,0,0.0,0.0,0.0,0,0.0,0.0,0.0
darshan nalkande,india,bowling-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,12,6.0,100.0,0,0,1,0,0.0,0.0,0.0,6,10.57,24.67,14.0
washington sundar,india,bowling-allrounder,left-handed-bat,right-arm-offbreak,8,193,13.79,121.39,1,16,9,13,378,14.0,116.31,0,32,9,48,6.94,23.5,20.31,37,7.54,35.81,28.49
sherfane rutherford,west indies,batting-allrounder,left-handed-bat,right-arm-fast-medium,6,428,25.18,143.15,2,26,29,2,106,15.14,101.93,0,3,8,1,10.29,72.0,42.0,1,8.63,59.0,41.0
glenn phillips,new zealand,batting-allrounder,right-handed-bat,right-arm-offbreak,12,1928,31.1,140.53,10,138,91,1,65,9.29,118.19,0,3,6,6,7.36,26.17,21.33,2,8.0,20.0,15.0
ravisrinivasan sai kishore,india,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,1,13,13.0,216.67,0,0,2,4,5.25,15.75,18.0,13,8.32,19.85,14.31
mahipal lomror,india,batting-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,6,527,18.17,141.29,1,33,30,0,0.0,0.0,0.0,1,8.47,127.0,90.0
arshad khan,india,bowling-allrounder,left-handed-bat,left-arm-medium,0,0,0.0,0.0,0,0,0,3,101,25.25,146.38,1,6,6,0,0.0,0.0,0.0,6,12.49,50.67,24.33
karim janat,afghanistan,bowling-allrounder,right-handed-bat,right-arm-fast-medium,9,691,17.72,115.94,4,49,28,0,0,0.0,0.0,0,0,0,42,8.19,27.14,19.88,0,0.0,0.0,0.0
jayant yadav,india,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,1,40,10.0,111.12,0,2,1,0,0.0,0.0,0.0,8,6.85,55.63,48.75
venkatesh iyer,india,batting-allrounder,left-handed-bat,right-arm-medium,3,133,33.25,162.2,0,15,5,7,1326,31.57,137.13,11,121,61,5,8.18,15.0,11.0,3,10.59,47.67,27.0
moeen ali,england,batting-allrounder,left-handed-bat,right-arm-offbreak,17,1229,21.19,142.42,7,88,68,6,1162,22.78,141.54,6,95,67,51,8.31,27.14,19.59,35,7.07,25.51,21.66
anukul roy,india,batting-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,3,26,8.67,108.34,0,3,0,0,0.0,0.0,0.0,5,8.43,38.2,27.2
abdul samad,india,batting-allrounder,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,10,577,19.23,146.08,0,37,36,0,0.0,0.0,0.0,2,12.56,56.5,27.0
mitchell marsh,australia,batting-allrounder,right-handed-bat,right-arm-fast-medium,11,1629,31.94,135.42,9,139,76,2,665,19.56,127.64,3,48,38,17,7.74,22.76,17.65,37,8.52,21.49,15.14
shahbaz ahmed,india,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,536,19.14,121.82,1,28,25,2,7.69,20.5,16.0,21,9.35,39.86,25.57
arshin kulkarni,india,batting-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,9,4.5,112.5,0,2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
rs hangargekar,india,bowling-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3,10.0,20.0,12.0
will jacks,england,batting-allrounder,right-handed-bat,right-arm-offbreak,0,383,18.24,136.79,0,40,15,1,230,32.86,175.58,1,16,18,1,13.67,41.0,18.0,2,11.11,50.0,27.0
mitchell santner,new zealand,bowling-allrounder,left-handed-bat,left-arm-orthodox,31,725,16.86,120.24,1,55,24,5,70,11.67,98.6,0,4,3,120,7.04,22.18,18.9,15,6.92,28.13,24.4
arjun tendulkar,india,bowling-allrounder,left-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,13,13.0,144.45,0,0,1,0,0.0,0.0,0.0,3,9.37,38.0,24.33
raj bawa,india,batting-allrounder,left-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,11,5.5,78.58,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
marcus stoinis,australia,batting-allrounder,right-handed-bat,right-arm-medium,22,1245,31.92,148.57,5,99,63,22,1866,28.27,142.01,9,150,91,45,8.73,24.24,16.67,43,9.52,29.63,18.67
marco jansen,south africa,bowling-allrounder,right-handed-bat,left-arm-fast,3,166,18.44,149.55,1,13,11,6,66,9.43,100.0,0,5,2,16,8.14,31.63,23.31,20,9.53,35.75,22.5
azmatullah omarzai,afghanistan,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,474,14.36,111.01,0,30,18,0,42,10.5,127.28,0,2,2,31,8.37,30.16,21.61,4,8.86,46.5,31.5
aaron hardie,australia,batting-allrounder,right-handed-bat,right-arm-fast-medium,2,128,21.33,129.3,0,15,3,0,0,0.0,0.0,0,0,0,10,8.33,25.0,18.0,0,0.0,0.0,0.0
praveen dubey,india,bowling-allrounder,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,1,23,23.0,69.7,0,2,0,0,0.0,0.0,0.0,1,8.27,91.0,66.0
wanindu hasaranga,sri lanka,bowling-allrounder,right-handed-bat,right-arm-legbreak,14,712,13.43,128.99,2,71,16,4,72,7.2,98.64,0,7,1,131,6.99,15.41,13.24,35,8.13,21.37,15.77
yudhvir singh charak,india,bowling-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,22,5.5,137.5,0,1,2,0,0.0,0.0,0.0,4,10.17,30.5,18.0
liam livingstone,england,batting-allrounder,right-handed-bat,right-arm-legbreak,9,955,25.13,148.99,2,54,59,6,939,28.45,162.46,6,66,66,33,8.73,25.39,17.45,11,9.14,35.73,23.45
krunal pandya,india,batting-allrounder,left-handed-bat,left-arm-orthodox,5,124,24.8,130.53,0,8,6,36,1647,21.96,132.83,1,144,61,15,8.11,36.93,27.33,76,7.37,34.29,27.92
jacob bethell,england,batting-allrounder,left-handed-bat,left-arm-orthodox,3,196,32.67,147.37,2,14,11,0,0,0.0,0.0,0,0,0,0,9.33,0.0,0.0,0,0.0,0.0,0.0
romario shepherd,west indies,bowling-allrounder,right-handed-bat,right-arm-fast-medium,14,537,26.85,139.12,0,25,39,4,115,23.0,182.54,0,7,10,56,9.8,27.54,16.86,4,12.24,64.25,31.5
swapnil singh,india,bowling-allrounder,right-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,4,51,10.2,113.34,0,3,3,0,0.0,0.0,0.0,7,8.93,34.43,23.14
mohit rathee,india,bowling-allrounder,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,1,1,0.0,50.0,0,0,0,0,0.0,0.0,0.0,0,14.5,0.0,0.0
