name,role,bowl_style,bat_style,is_restrictive,is_attacking,is_experienced,overseas,ipl_exp_score,t20_exp_score,is_anchor,is_aggressive,is_balanced,price
ravichandran ashwin,bowling-allrounder,right-arm-offbreak,right-handed-bat,1,0,0,0,13.33,26.29,0,0,1,9.75
rachin ravindra,batting-allrounder,left-arm-orthodox,left-handed-bat,1,0,0,1,22.2,17.17,0,1,0,4.0
sam curran,bowling-allrounder,left-arm-fast-medium,left-handed-bat,0,0,1,1,25.23,14.24,0,0,1,2.4
vijay shankar,batting-allrounder,right-arm-medium,right-handed-bat,0,0,0,0,25.34,25.25,0,0,1,1.2
washington sundar,bowling-allrounder,right-arm-offbreak,left-handed-bat,1,0,0,0,14.0,13.79,0,0,1,3.2
sherfane rutherford,batting-allrounder,right-arm-fast-medium,left-handed-bat,0,0,0,1,15.139999999999999,25.18,0,1,0,2.6
glenn phillips,batting-allrounder,right-arm-offbreak,right-handed-bat,1,0,0,1,9.29,31.1,0,0,1,2.0
ravisrinivasan sai kishore,bowling-allrounder,left-arm-orthodox,left-handed-bat,1,0,0,0,13.0,0.0,0,1,0,2.0
arshad khan,bowling-allrounder,left-arm-medium,left-handed-bat,0,0,0,0,25.25,0.0,0,0,1,1.3
karim janat,bowling-allrounder,right-arm-fast-medium,right-handed-bat,0,0,0,1,0.0,17.72,0,0,1,0.75
jayant yadav,bowling-allrounder,right-arm-offbreak,right-handed-bat,1,0,0,0,10.0,0.0,0,0,1,0.75
venkatesh iyer,batting-allrounder,right-arm-medium,left-handed-bat,0,1,0,0,31.57,33.25,0,1,0,23.75
moeen ali,batting-allrounder,right-arm-offbreak,left-handed-bat,1,0,0,1,22.78,21.19,0,1,0,2.0
anukul roy,batting-allrounder,left-arm-orthodox,left-handed-bat,0,0,0,0,8.67,0.0,0,0,1,0.4
abdul samad,batting-allrounder,right-arm-legbreak,right-handed-bat,0,0,0,0,19.23,0.0,0,1,0,4.2
mitchell marsh,batting-allrounder,right-arm-fast-medium,right-handed-bat,0,0,0,1,19.56,31.94,0,0,1,3.4
shahbaz ahmed,bowling-allrounder,left-arm-orthodox,left-handed-bat,0,0,0,0,19.14,0.0,0,0,1,2.4
will jacks,batting-allrounder,right-arm-offbreak,right-handed-bat,0,0,0,1,32.86,18.24,0,1,0,5.25
mitchell santner,bowling-allrounder,left-arm-orthodox,left-handed-bat,1,0,0,1,11.67,16.86,0,0,1,2.0
marcus stoinis,batting-allrounder,right-arm-medium,right-handed-bat,0,0,0,1,28.27,31.920000000000005,0,1,0,11.0
marco jansen,bowling-allrounder,left-arm-fast,right-handed-bat,0,0,0,1,9.43,18.44,0,1,0,7.0
azmatullah omarzai,bowling-allrounder,right-arm-fast-medium,right-handed-bat,0,0,0,1,10.5,14.359999999999998,0,0,1,2.4
aaron hardie,batting-allrounder,right-arm-fast-medium,right-handed-bat,0,0,0,1,0.0,21.33,0,0,1,1.25
wanindu hasaranga,bowling-allrounder,right-arm-legbreak,right-handed-bat,1,0,0,1,7.2,13.43,0,0,1,5.25
yudhvir singh charak,bowling-allrounder,right-arm-fast-medium,right-handed-bat,0,0,0,0,5.5,0.0,0,0,1,0.35
liam livingstone,batting-allrounder,right-arm-legbreak,right-handed-bat,0,0,0,1,28.449999999999996,25.13,0,1,0,8.75
krunal pandya,batting-allrounder,left-arm-orthodox,left-handed-bat,1,0,0,0,21.96,24.8,0,0,1,5.75
kamindu mendis,batting-allrounder,right-arm-offbreak,left-handed-bat,0,0,0,1,0.0,19.05,0,0,1,0.75
