name,country,role,bowl_style,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr
khaleel ahmed,india,bowler,left-arm-fast-medium,16,8.52,35.13,24.75,74,8.84,25.42,17.24
nathan ellis,australia,bowler,right-arm-fast-medium,32,7.66,16.91,13.25,18,8.61,28.22,19.67
jamie overton,england,bowler,right-arm-fast,11,8.21,16.91,12.36,0,0.0,0.0,0.0
shreyas gopal,india,bowler,right-arm-legbreak,0,0.0,0.0,0.0,52,8.16,25.92,19.06
kamlesh nagarkoti,india,bowler,right-arm-fast,0,0.0,0.0,0.0,5,9.5,57.0,36.0
mukesh choudhary,india,bowler,left-arm-fast-medium,0,0.0,0.0,0.0,16,9.7,28.19,17.44
mukesh kumar,india,bowler,right-arm-fast-medium,20,9.02,24.35,16.2,24,10.44,28.92,16.63
mohit sharma,india,bowler,right-arm-fast-medium,6,8.04,30.83,23.0,132,8.67,24.67,17.07
dushmantha chameera,sri lanka,bowler,right-arm-fast,55,8.09,28.87,21.42,9,9.19,48.0,31.33
kagiso rabada,south africa,bowler,right-arm-fast,71,8.3,27.15,19.62,117,8.48,21.97,15.54
prasidh krishna,india,bowler,right-arm-fast,8,11.0,27.5,15.0,49,8.92,34.76,23.37
gerald coetzee,south africa,bowler,right-arm-fast,12,10.57,30.25,17.17,13,10.18,26.23,15.46
gurnoor brar,india,bowler,right-arm-fast,0,0.0,0.0,0.0,0,14.0,0.0,0.0
ishant sharma,india,bowler,right-arm-fast-medium,8,8.63,50.0,34.75,92,8.24,34.48,25.1
kulwant khejroliya,india,bowler,left-arm-fast-medium,0,0.0,0.0,0.0,5,10.76,43.4,24.2
manav suthar,india,bowler,left-arm-orthodox,0,0.0,0.0,0.0,0,13.0,0.0,0.0
anrich nortje,south africa,bowler,right-arm-fast,53,7.01,19.17,16.4,60,8.96,26.23,17.57
spencer johnson,australia,bowler,left-arm-fast,14,8.96,17.07,11.43,4,9.44,37.75,24.0
vaibhav arora,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,19,9.18,30.84,20.16
