name,role,bowl_style,is_restrictive,is_attacking,is_experienced,skill,overseas,price
khaleel ahmed,medium,left-arm-fast-medium,0,0,1,Opening Bowler,0,4.8
shreyas gopal,wrist spin,right-arm-legbreak,0,0,1,Middle-over Bowler,0,0.3
mukesh kumar,medium,right-arm-fast-medium,0,0,0,Death-over Bowler,0,8.0
mohit sharma,medium,right-arm-fast-medium,0,0,1,Death-over Bowler,0,2.2
dushmantha chameera,fast,right-arm-fast,0,0,1,Opening Bowler,1,0.75
kagiso rabada,fast,right-arm-fast,0,0,1,Death-over Bowler,1,10.75
prasidh krishna,fast,right-arm-fast,0,0,0,Middle-over Bowler,0,9.5
gerald coetzee,fast,right-arm-fast,0,0,0,Middle-over Bowler,1,2.4
ishant sharma,medium,right-arm-fast-medium,0,0,1,Opening Bowler,0,0.75
anrich nortje,fast,right-arm-fast,1,0,0,Opening Bowler,1,6.5
umran malik,fast,right-arm-fast,0,0,0,Middle-over Bowler,0,0.75
mayank markande,wrist spin,right-arm-legbreak,0,0,0,Middle-over Bowler,0,0.3
avesh khan,fast,right-arm-fast,0,0,1,Death-over Bowler,0,9.75
manimaran siddharth,finger spin,left-arm-orthodox,0,0,0,Middle-over Bowler,0,0.75
akash maharaj singh,medium,left-arm-fast-medium,0,0,0,Opening Bowler,0,0.3
deepak chahar,medium,right-arm-fast-medium,0,0,1,Opening Bowler,0,9.25
yuzvendra chahal,wrist spin,right-arm-legbreak,0,0,1,Middle-over Bowler,0,18.0
arshdeep singh,medium,left-arm-fast-medium,0,0,1,Death-over Bowler,0,18.0
lockie ferguson,fast,right-arm-fast,1,0,0,Death-over Bowler,1,2.0
maheesh theekshana,finger spin,right-arm-offbreak,1,0,0,Mystery Spinner,1,4.4
fazalhaq farooqi,medium,left-arm-fast-medium,1,0,0,Death-over Bowler,1,2.0
josh hazlewood,medium,right-arm-fast-medium,1,0,0,Opening Bowler,1,12.5
bhuvneshwar kumar,medium,right-arm-fast-medium,1,0,0,Opening Bowler,0,10.75
suyash sharma,wrist spin,right-arm-legbreak,0,0,0,Middle-over Bowler,0,2.6
nuwan thushara,medium,right-arm-fast-medium,0,1,0,Death-over Bowler,1,1.6
lungi ngidi,fast,right-arm-fast,0,1,0,Death-over Bowler,1,1.0
mohammed shami,fast,right-arm-fast,0,0,1,Opening Bowler,0,10.0
harshal patel,medium,right-arm-fast-medium,0,0,1,Death-over Bowler,0,8.0
rahul chahar,wrist spin,right-arm-legbreak,0,0,1,Middle-over Bowler,0,3.2
adam zampa,wrist spin,right-arm-legbreak,1,0,0,Middle-over Bowler,1,2.4
simarjeet singh,medium,right-arm-fast-medium,0,0,0,Opening Bowler,0,1.5
jaydev unadkat,medium,left-arm-fast-medium,0,0,1,Opening Bowler,0,1.0
